month,total_visitors,total_sessions,total_orders_placed,total_pageviews
2020-07,0,0,0,0
2020-08,0,0,0,0
2020-09,3082,3299,5,8005
2020-10,9164,9832,12,22324
2020-11,7383,8958,41,23693
2020-12,10987,11805,19,22255
2021-01,5137,5775,10,18447
2021-02,5418,6045,12,15794
2021-03,5810,6461,8,16212
2021-04,6684,7506,14,17190
2021-05,4512,5074,23,13147
2021-06,2354,2726,12,10400
2021-07,1538,1809,8,7856
2021-08,1651,1937,5,8440
2021-09,1247,1558,8,7770
2021-10,3273,4011,7,14289
2021-11,8826,10476,14,35110
2021-12,3752,4343,2,17616
